"id","Date","dust_status","gsw","gbw","gtw","E_apparent","VPcham","VPref","VPleaf","VPDleaf","Fm.","PhiPS2","ETR","rh_r","Tleaf","flow","Qamb"
"dust_06_06","8/4/26","pre_dust","0.22574","2.922556","0.209554","4.873383","2.000503","1.879011",4.034674,2.03417,321.773834,0.625112,102.950668,41.54,29.06,156.8,412
"nodust_06_16","8/4/26","pre_dust","0.306942","2.922997","0.277773","5.809883","2.118004","1.973394",3.947363,1.829358,358.196106,0.613816,99.823257,43.28,28.68,156.9,407
"dust_09_09","8/4/26","pre_dust","0.300496","2.922292","0.272477","5.632601","2.17178","2.031585",3.978951,1.807171,292.627502,0.577483,128.458481,44.35,28.82,156.8,556
"dust_05_05","8/4/26","pre_dust","0.338142","2.923022","0.303081","6.170018","2.223883","2.070498",4.002744,1.778861,378.860474,0.649152,127.766235,45,28.92,156.9,492
"nodust_05_15","8/4/26","pre_dust","0.367188","2.921966","0.326196","6.034578","2.228668","2.078532",3.846592,1.617924,352.89621,0.62974,117.982689,45.01,28.23,156.7,468
"dust_08_08","8/4/26","pre_dust","0.119803","2.9234","0.115086","2.740662","2.18858","2.120441",4.266721,2.078142,379.01712,0.583745,99.017525,45.8,30.03,156.9,424
"dust_07_07","8/4/26","pre_dust","0.108389","2.921003","0.104511","2.604728","2.17819","2.113304",4.352045,2.173855,336.461334,0.634598,117.653847,45.53,30.37,156.6,463
"nodust_08_18","8/4/26","pre_dust","0.174336","2.923113","0.164523","4.172153","2.270244","2.16659",4.479419,2.209175,330.392273,0.383793,105.644615,46.52,30.88,156.9,688
"nodust_03_13","8/4/26","pre_dust","0.259675","2.921942","0.238481","5.112556","2.303854","2.176774",4.174262,1.870409,369.190979,0.660891,138.831268,46.61,29.64,156.7,525
"dust_10_10","8/4/26","pre_dust","0.583792","2.923469","0.486618","8.852003","2.420416","2.200938",4.00801,1.587594,370.738434,0.413451,104.975281,46.95,28.94,156.9,635
"dust_03_03","8/4/26","pre_dust","0.140852","2.921125","0.134373","3.080827","2.333685","2.257078",4.332026,1.99834,339.353149,0.331613,92.950005,47.96,30.29,156.6,701
"nodust_01_11","8/4/26","pre_dust","0.422924","2.922101","0.369452","7.355599","2.411782","2.229195",4.148016,1.736234,359.532684,0.382065,118.326004,47.28,29.54,156.8,774
"nodust_04_14","8/4/26","pre_dust","0.322218","2.922059","0.290216","6.519444","2.370117","2.208186",4.3278,1.957683,251.644211,0.325447,105.411171,46.79,30.27,156.7,810
"nodust_09_19","8/4/26","pre_dust","0.294105","2.922519","0.267214","5.312643","2.314872","2.182893",4.050645,1.735773,319.776703,0.439088,117.785172,46.27,29.12,156.8,671
"nodust_07_17","8/4/26","pre_dust","0.109208","2.923477","0.105276","2.640205","2.281148","2.215585",4.465832,2.184684,352.577789,0.512141,149.340927,46.99,30.82,156.9,729
"nodust_10_20","8/4/26","pre_dust","0.219908","2.92046","0.204509","4.605776","2.305077","2.190459",4.268948,1.96387,278.537567,0.364134,114.24382,46.69,30.03,156.5,784
"dust_02_02","8/4/26","pre_dust","0.149198","2.922669","0.141951","3.074482","2.253746","2.177325",4.144304,1.890558,332.446838,0.484096,107.988144,46.51,29.52,156.8,558
"dust_04_04","8/4/26","pre_dust","0.193609","2.922269","0.181578","4.101907","2.28877","2.186821",4.2589,1.97013,323.720001,0.403444,121.586914,46.86,29.99,156.8,753
"dust_01_01","8/4/26","pre_dust","0.09015","2.922458","0.087452","2.207335","2.240605","2.185724",4.440115,2.19951,375.760712,0.271498,77.393448,47,30.72,156.8,713
"dust_06_06","8/5/26","pre_dust","0.128509","2.921254","0.123094","2.186939","1.717784","1.662914",3.284422,1.566638,346.141449,0.624774,114.344765,53.93,25.54,156.6,458
